id,sex,age
1006,male,17
1007,male,13
1008,female,9
1009,female,4
1010,male,10
1011,male,5
1016,female,12
1023,female,17
1028,female,18
1030,male,10
1031,female,5
1032,male,18
1035,female,16
1036,male,8
1101,male,28
1102,female,27
1103,male,54
1104,female,45
1106,female,55
1115,female,62
1116,female,33
1119,male,27
1120,female,37
1121,female,21
1122,male,24
1124,male,30
2030,male,39
2031,female,31
2038,male,63
2039,female,59
2055,male,21
2513,male,12
2522,female,17
2523,male,11
2524,male,14
2538,female,5
2539,male,8
2542,male,2
2544,male,14
2547,male,12
3040,male,29
3041,female,23
3061,male,7
3076,female,45
3077,female,17
3117,female,19
3118,male,13
3119,female,8
3142,female,70
