group_id,id,total.minutes,date_arrive,id_count,date
2018-07-23_1,1007_1008_1009_1010_1016_1031_3077,29.714285714285715,23/07/2018,7,2018-07-23
2018-07-23_10,1007_1008_1009_1010_1011_1016,35.166666666666664,23/07/2018,6,2018-07-23
2018-07-23_1101,1101,14.0,23/07/2018,1,2018-07-23
2018-07-23_1102,1102,35.0,23/07/2018,1,2018-07-23
2018-07-23_1119,1119,67.0,23/07/2018,1,2018-07-23
2018-07-23_2,1006_1032,38.0,23/07/2018,2,2018-07-23
2018-07-23_3,1009_1030_1032_3077,19.8,23/07/2018,4,2018-07-23
2018-07-23_3040,3040,84.0,23/07/2018,1,2018-07-23
2018-07-23_6,1006_1101_1102,269.3333333333333,23/07/2018,3,2018-07-23
2018-07-23_7,1030_1119,179.0,23/07/2018,2,2018-07-23
2018-07-23_8,1007_1008_1010_1016_1032_3077,56.666666666666664,23/07/2018,6,2018-07-23
2018-07-23_9,1104_1120,73.5,23/07/2018,2,2018-07-23
2018-07-24_1,1006_1032,11.0,24/07/2018,2,2018-07-24
2018-07-24_10,1007_1008_1009_1011_1016_2513_2523_2544,56.25,24/07/2018,8,2018-07-24
2018-07-24_1032,1032,28.0,24/07/2018,1,2018-07-24
2018-07-24_11,1103_1104,375.0,24/07/2018,2,2018-07-24
2018-07-24_1101,1101,37.0,24/07/2018,1,2018-07-24
2018-07-24_1103,1103,31.0,24/07/2018,1,2018-07-24
2018-07-24_1119,1119,47.0,24/07/2018,1,2018-07-24
2018-07-24_12,1101_1102,499.0,24/07/2018,2,2018-07-24
2018-07-24_13,1010_1011_1030,118.0,24/07/2018,3,2018-07-24
2018-07-24_16,1119_1120,25.0,24/07/2018,2,2018-07-24
2018-07-24_2,1116_1120,6.0,24/07/2018,2,2018-07-24
2018-07-24_3,1007_2513_2523,136.0,24/07/2018,3,2018-07-24
2018-07-24_3040,3040,92.0,24/07/2018,1,2018-07-24
2018-07-24_4,1009_1010_1011_1016_1030_1031,34.833333333333336,24/07/2018,6,2018-07-24
2018-07-24_5,1119_1120,483.0,24/07/2018,2,2018-07-24
2018-07-24_7,1006_1032,90.0,24/07/2018,2,2018-07-24
2018-07-24_8,3040_3041_3077,491.0,24/07/2018,3,2018-07-24
2018-07-24_9,1031_1116_1124,552.6666666666666,24/07/2018,3,2018-07-24
2018-07-25_1,1102_1104_3077,307.0,25/07/2018,3,2018-07-25
2018-07-25_10,1008_1010_1016,17.0,25/07/2018,3,2018-07-25
2018-07-25_1032,1032,23.0,25/07/2018,1,2018-07-25
2018-07-25_11,3077_3117,33.0,25/07/2018,2,2018-07-25
2018-07-25_1101,1101,334.0,25/07/2018,1,2018-07-25
2018-07-25_1119,1119,21.0,25/07/2018,1,2018-07-25
