group_id,kcal,foraging_proportion,type,date,group_size,forager_ids
2018-07-23_1006,197.19883476562498,1.0,combined,2018-07-23,1,{'1006'}
2018-07-23_1007_1008_1009_1010_1011_1016,117.96750000000002,0.0,combined,2018-07-23,6,"{'1011', '1008', '1007', '1009', '1010', '1016'}"
2018-07-23_1007_1008_1010_1016_1032_3077,343.677499583,0.7194244604316548,combined,2018-07-23,6,"{'3077', '1032', '1008', '1007', '1010', '1016'}"
2018-07-23_1009,112.6850484375,1.0,combined,2018-07-23,1,{'1009'}
2018-07-23_1032,180.791943742375,0.4666382921331533,combined,2018-07-23,1,{'1032'}
2018-07-23_1102,6771.763384592969,0.9956938838019143,combined,2018-07-23,1,{'1102'}
2018-07-23_1116,227.2465125,1.0,combined,2018-07-23,1,{'1116'}
2018-07-23_1120,255.53774762775004,1.0,combined,2018-07-23,1,{'1120'}
2018-07-23_2039,8536.999,1.0,combined,2018-07-23,1,{'2039'}
2018-07-23_2544,84.513786328125,1.0,combined,2018-07-23,1,{'2544'}
2018-07-23_3040,1211.364270703125,1.0,combined,2018-07-23,1,{'3040'}
2018-07-24_1007_1008_1009_1011_1016_2513_2523_2544,921.5681807,1.0,combined,2018-07-24,8,"{'2513', '1011', '1008', '1007', '2523', '2544', '1009', '1016'}"
2018-07-24_1007_1008_1009_1011_1016_2513_2544_3117,96.427499883,0.0,combined,2018-07-24,8,"{'2513', '1011', '1008', '1007', '2544', '3117', '1009', '1016'}"
2018-07-24_1007_2513_2523,777.5,1.0,combined,2018-07-24,3,"{'2523', '2513', '1007'}"
2018-07-24_1016,1807.40175,1.0,combined,2018-07-24,1,{'1016'}
2018-07-24_1031_1116_1124,4043.338333333333,0.4428860970081241,combined,2018-07-24,3,"{'1124', '1031', '1116'}"
2018-07-24_1032,435.39741738281253,1.0,combined,2018-07-24,1,{'1032'}
2018-07-24_1101_1102,7377.0,1.0,combined,2018-07-24,2,"{'1102', '1101'}"
2018-07-24_1102,2975.0,1.0,combined,2018-07-24,1,{'1102'}
2018-07-24_1103_1104,1416.30285744,0.41746720836863666,combined,2018-07-24,2,"{'1103', '1104'}"
2018-07-24_1104,3198.07775,1.0,combined,2018-07-24,1,{'1104'}
2018-07-24_1119,5269.285714,1.0,combined,2018-07-24,1,{'1119'}
2018-07-24_1119_1120,5251.2609999999995,0.9352744036146747,combined,2018-07-24,2,"{'1119', '1120'}"
2018-07-24_1120,1075.6333333333334,1.0,combined,2018-07-24,1,{'1120'}
2018-07-24_3040,901.3677165000001,1.0,combined,2018-07-24,1,{'3040'}
2018-07-24_3040_3041_3077,1771.2,1.0,combined,2018-07-24,3,"{'3040', '3041', '3077'}"
2018-07-24_3041,2537.669888944625,0.9835956248291566,combined,2018-07-24,1,{'3041'}
2018-07-24_3041_3077,3272.5,1.0,combined,2018-07-24,2,"{'3041', '3077'}"
2018-07-25_1007_1010_1030,400.60787400000004,1.0,combined,2018-07-25,3,"{'1010', '1030', '1007'}"
2018-07-25_1008_1011_1030,248.83233860937503,1.0,combined,2018-07-25,3,"{'1030', '1008', '1011'}"
2018-07-25_1032,248.15241738281247,1.0,combined,2018-07-25,1,{'1032'}
2018-07-25_1101,3408.6600000000003,1.0,combined,2018-07-25,1,{'1101'}
2018-07-25_1102,12404.099999999999,1.0,combined,2018-07-25,1,{'1102'}
2018-07-25_1102_1104_3077,29160.0,1.0,combined,2018-07-25,3,"{'1102', '1104', '3077'}"
2018-07-25_1103,872.3925,1.0,combined,2018-07-25,1,{'1103'}
2018-07-25_1104,1949.9,1.0,combined,2018-07-25,1,{'1104'}
2018-07-25_1115,7125.9710000000005,1.0,combined,2018-07-25,1,{'1115'}
2018-07-25_1116,4158.0,1.0,combined,2018-07-25,1,{'1116'}
2018-07-25_1119,2381.518942166667,1.0,combined,2018-07-25,1,{'1119'}
2018-07-25_1121,2227.487874,1.0,combined,2018-07-25,1,{'1121'}
2018-07-25_1122,124.6275,1.0,combined,2018-07-25,1,{'1122'}
2018-07-25_1124,299.106,1.0,combined,2018-07-25,1,{'1124'}
2018-07-25_2513_2523,2106.845733333333,1.0,combined,2018-07-25,2,"{'2523', '2513'}"
2018-07-25_3040_3117,2293.146,1.0,combined,2018-07-25,2,"{'3040', '3117'}"
2018-07-25_3076,5678.09495,1.0,combined,2018-07-25,1,{'3076'}
2018-07-25_3077,4352.473306218612,0.9933003609790467,combined,2018-07-25,1,{'3077'}
2018-07-26_1006_1010_1011_1032_2544,400.60787400000004,1.0,combined,2018-07-26,5,"{'1011', '1032', '2544', '1006', '1010'}"
2018-07-26_1006_1010_1032,340.0,0.0,combined,2018-07-26,3,"{'1010', '1032', '1006'}"
2018-07-26_1007_2544,300.45590550000003,1.0,combined,2018-07-26,2,"{'2544', '1007'}"
2018-07-26_1007_3117,85.0,1.0,combined,2018-07-26,2,"{'3117', '1007'}"
2018-07-26_1009,0.0,,combined,2018-07-26,1,{'1009'}
2018-07-26_1016,100.15196850000001,1.0,combined,2018-07-26,1,{'1016'}
2018-07-26_1101,4166.14,1.0,combined,2018-07-26,1,{'1101'}
2018-07-26_1103,225.370096875,1.0,combined,2018-07-26,1,{'1103'}
2018-07-26_1104,1071.1764955549374,1.0,combined,2018-07-26,1,{'1104'}
2018-07-26_1115,4878.41240002835,1.0,combined,2018-07-26,1,{'1115'}
2018-07-26_1116_1120,2649.165518,1.0,combined,2018-07-26,2,"{'1120', '1116'}"
2018-07-26_1120,470.034,1.0,combined,2018-07-26,1,{'1120'}
2018-07-26_1121,469.73273816666665,0.748862511775486,combined,2018-07-26,1,{'1121'}
2018-07-26_1122,13700.142856399998,1.0,combined,2018-07-26,1,{'1122'}
2018-07-26_1124,9081.2,0.5136986301369862,combined,2018-07-26,1,{'1124'}
2018-07-26_2038,949.16304,0.7878151260504201,combined,2018-07-26,1,{'2038'}
2018-07-26_2038_2039,1474.5916666666667,0.9547840927714453,combined,2018-07-26,2,"{'2039', '2038'}"
2018-07-26_2039,496.84765625,1.0,combined,2018-07-26,1,{'2039'}
2018-07-26_2513,5077.46375,0.1302350509149376,combined,2018-07-26,1,{'2513'}
2018-07-26_2523,500.75984250000005,1.0,combined,2018-07-26,1,{'2523'}
2018-07-26_3040,1195.955342625,1.0,combined,2018-07-26,1,{'3040'}
2018-07-26_3076,875.1460350678749,1.0,combined,2018-07-26,1,{'3076'}
2018-07-26_3117,2571.630500018225,1.0,combined,2018-07-26,1,{'3117'}
2018-07-27_1006,1239.88563186395,1.0,combined,2018-07-27,1,{'1006'}
2018-07-27_1007,0.0,,combined,2018-07-27,1,{'1007'}
2018-07-27_1007_1010_1032,340.0,0.0,combined,2018-07-27,3,"{'1010', '1032', '1007'}"
2018-07-27_1008,0.0,,combined,2018-07-27,1,{'1008'}
2018-07-27_1009,0.0,,combined,2018-07-27,1,{'1009'}
2018-07-27_1010,0.0,,combined,2018-07-27,1,{'1010'}
2018-07-27_1030_1031,0.0,,combined,2018-07-27,2,"{'1030', '1031'}"
2018-07-27_1032,650.205358,1.0,combined,2018-07-27,1,{'1032'}
2018-07-27_1101,623.1375,1.0,combined,2018-07-27,1,{'1101'}
2018-07-27_1102,5807.75,1.0,combined,2018-07-27,1,{'1102'}
2018-07-27_1115,2578.8,1.0,combined,2018-07-27,1,{'1115'}
2018-07-27_1116_1124,1629.3832676,0.7295643063060833,combined,2018-07-27,2,"{'1124', '1116'}"
2018-07-27_1120,14754.0,1.0,combined,2018-07-27,1,{'1120'}
2018-07-27_1120_3077,746.933828125,1.0,combined,2018-07-27,2,"{'3077', '1120'}"
2018-07-27_1121,3500.6666666666665,1.0,combined,2018-07-27,1,{'1121'}
2018-07-27_1122,497.6300935,1.0,combined,2018-07-27,1,{'1122'}
2018-07-27_2038_2039,2227.5,1.0,combined,2018-07-27,2,"{'2039', '2038'}"
2018-07-27_2039,619.652200003645,1.0,combined,2018-07-27,1,{'2039'}
2018-07-27_3040,922.2435,1.0,combined,2018-07-27,1,{'3040'}
2018-07-27_3040_3041_3077,1351.2691375000002,1.0,combined,2018-07-27,3,"{'3040', '3041', '3077'}"
2018-07-27_3076,1924.895,1.0,combined,2018-07-27,1,{'3076'}
2018-07-27_3117,2380.0,1.0,combined,2018-07-27,1,{'3117'}
2018-07-28_1006,794.95625,1.0,combined,2018-07-28,1,{'1006'}
2018-07-28_1006_1032,403.5999058,0.15758156750293276,combined,2018-07-28,2,"{'1032', '1006'}"
2018-07-28_1007_1008_1009_1010_1011_1016_1031_2513_2523_3117,411.10931768300003,0.7654455986878076,combined,2018-07-28,10,"{'1031', '2513', '1011', '1008', '1007', '2523', '3117', '1009', '1010', '1016'}"
2018-07-28_1007_2513_2523,168.6825,1.0,combined,2018-07-28,3,"{'2523', '2513', '1007'}"
2018-07-28_1009_1031,141.59999994,0.0,combined,2018-07-28,2,"{'1031', '1009'}"
2018-07-28_1010,250.37992125000002,1.0,combined,2018-07-28,1,{'1010'}
2018-07-28_1016_3117,111.57806666666666,1.0,combined,2018-07-28,2,"{'3117', '1016'}"
2018-07-28_1030,140.856310546875,1.0,combined,2018-07-28,1,{'1030'}
2018-07-28_1032,794.95625,1.0,combined,2018-07-28,1,{'1032'}
2018-07-28_1102,313.4142494709167,1.0,combined,2018-07-28,1,{'1102'}
2018-07-28_1103,3736.210866125,1.0,combined,2018-07-28,1,{'1103'}
2018-07-28_1103_1104,10303.5,0.9368175862570971,combined,2018-07-28,2,"{'1103', '1104'}"
2018-07-28_1104,1184.46456062,1.0,combined,2018-07-28,1,{'1104'}
2018-07-28_1115,217.51237575,1.0,combined,2018-07-28,1,{'1115'}
2018-07-28_1116,24.5,1.0,combined,2018-07-28,1,{'1116'}
2018-07-28_1120_3076,398.808,1.0,combined,2018-07-28,2,"{'3076', '1120'}"
2018-07-28_1121,2123.8877504152083,0.6115412138995064,combined,2018-07-28,1,{'1121'}
2018-07-28_1121_1122,15552.0,1.0,combined,2018-07-28,2,"{'1122', '1121'}"
2018-07-28_1122_3077,28382.399999999998,1.0,combined,2018-07-28,2,"{'1122', '3077'}"
2018-07-28_2038,751.13976375,1.0,combined,2018-07-28,1,{'2038'}
2018-07-28_2055,6842.0,1.0,combined,2018-07-28,1,{'2055'}
2018-07-28_3040,4202.34420675,1.0,combined,2018-07-28,1,{'3040'}
2018-07-28_3076,33.3720000243,1.0,combined,2018-07-28,1,{'3076'}
2018-07-28_3077,1145.8611666666666,1.0,combined,2018-07-28,1,{'3077'}
2018-07-28_3117,56.19318175,1.0,combined,2018-07-28,1,{'3117'}
2018-07-29_1006,4416.2,0.0,combined,2018-07-29,1,{'1006'}
2018-07-29_1007_1008_1122_2523,126.28440000000002,1.0,combined,2018-07-29,4,"{'1122', '1008', '2523', '1007'}"
2018-07-29_1010,5796.214285399999,1.0,combined,2018-07-29,1,{'1010'}
2018-07-29_1016,1050.0,1.0,combined,2018-07-29,1,{'1016'}
2018-07-29_1016_3117,157.5,1.0,combined,2018-07-29,2,"{'3117', '1016'}"
2018-07-29_1101,14100.66,1.0,combined,2018-07-29,1,{'1101'}
2018-07-29_1102,485.571428925,1.0,combined,2018-07-29,1,{'1102'}
2018-07-29_1104_1121_1122,8303.7,0.4681647940074906,combined,2018-07-29,3,"{'1122', '1121', '1104'}"
2018-07-29_1116_1120,1666.0,1.0,combined,2018-07-29,2,"{'1120', '1116'}"
2018-07-29_1120,1190.0,1.0,combined,2018-07-29,1,{'1120'}
2018-07-29_1121,4210.469488125,1.0,combined,2018-07-29,1,{'1121'}
2018-07-29_1122,596.2171875,1.0,combined,2018-07-29,1,{'1122'}
2018-07-29_1124,18759.6,1.0,combined,2018-07-29,1,{'1124'}
2018-07-29_2031,2401.9962260416664,1.0,combined,2018-07-29,1,{'2031'}
2018-07-29_2039,2484.4875,0.9731634793896125,combined,2018-07-29,1,{'2039'}
2018-07-29_2513,96.427499883,0.0,combined,2018-07-29,1,{'2513'}
2018-07-29_2539,250.37992125000002,1.0,combined,2018-07-29,1,{'2539'}
2018-07-29_2544,496.84765625,1.0,combined,2018-07-29,1,{'2544'}
2018-07-29_3040,500.75984250000005,1.0,combined,2018-07-29,1,{'3040'}
2018-07-29_3040_3041,186.0,1.0,combined,2018-07-29,2,"{'3040', '3041'}"
2018-07-29_3040_3041_3077,17323.775984549666,0.9944338058879888,combined,2018-07-29,3,"{'3040', '3041', '3077'}"
2018-07-29_3041,1824.5714299,1.0,combined,2018-07-29,1,{'3041'}
2018-07-29_3077,1082.997845125,1.0,combined,2018-07-29,1,{'3077'}
2018-07-29_3117,3488.07995275,1.0,combined,2018-07-29,1,{'3117'}
2018-07-30_1007_1035_1103_2513_2523_2544,18761.914285714287,1.0,combined,2018-07-30,6,"{'2513', '1007', '1103', '1035', '2523', '2544'}"
2018-07-30_1008_1009_1011_1031_2539,150.940505498675,0.3611555787200774,combined,2018-07-30,5,"{'1031', '1011', '1008', '2539', '1009'}"
2018-07-30_1010_1011_1101_2539,6237.0,1.0,combined,2018-07-30,4,"{'1010', '2539', '1101', '1011'}"
2018-07-30_1028_2055,1574.6886666666667,1.0,combined,2018-07-30,2,"{'2055', '1028'}"
2018-07-30_1032,794.95625,1.0,combined,2018-07-30,1,{'1032'}
2018-07-30_1035,1370.2,1.0,combined,2018-07-30,1,{'1035'}
2018-07-30_1102,1943.9333333333334,1.0,combined,2018-07-30,1,{'1102'}
2018-07-30_1104,1429.7464566666665,1.0,combined,2018-07-30,1,{'1104'}
2018-07-30_1104_3076_3077,89.0,0.0,combined,2018-07-30,3,"{'3076', '1104', '3077'}"
2018-07-30_1106,2117.5,1.0,combined,2018-07-30,1,{'1106'}
2018-07-30_1115,1079.9187878736334,1.0,combined,2018-07-30,1,{'1115'}
2018-07-30_1115_1120,4879.0,1.0,combined,2018-07-30,2,"{'1115', '1120'}"
2018-07-30_1116_1124,2315.3280000699997,0.5942475536763702,combined,2018-07-30,2,"{'1124', '1116'}"
2018-07-30_1120,1845.0,1.0,combined,2018-07-30,1,{'1120'}
2018-07-30_1121,918.12275,1.0,combined,2018-07-30,1,{'1121'}
2018-07-30_1122,823.6526355000001,1.0,combined,2018-07-30,1,{'1122'}
2018-07-30_2030,2634.642857,1.0,combined,2018-07-30,1,{'2030'}
2018-07-30_2031,1298.8658854166667,1.0,combined,2018-07-30,1,{'2031'}
2018-07-30_2038,10377.033333333333,0.5744255744255744,combined,2018-07-30,1,{'2038'}
2018-07-30_2039,1476.0,1.0,combined,2018-07-30,1,{'2039'}
2018-07-30_3041,730.85,1.0,combined,2018-07-30,1,{'3041'}
2018-07-30_3076,864.62992125,1.0,combined,2018-07-30,1,{'3076'}
2018-07-30_3077,1801.913976375,1.0,combined,2018-07-30,1,{'3077'}
2018-07-30_3117,934.1999999999999,1.0,combined,2018-07-30,1,{'3117'}
2018-07-31_1007,2950.7999999999997,1.0,combined,2018-07-31,1,{'1007'}
2018-07-31_1010,227.14466455800004,1.0,combined,2018-07-31,1,{'1010'}
2018-07-31_1016,49.0,1.0,combined,2018-07-31,1,{'1016'}
2018-07-31_1016_1035_3077_3117,117.9675,0.0,combined,2018-07-31,4,"{'3117', '1035', '3077', '1016'}"
2018-07-31_1016_3117,117.75172500000001,1.0,combined,2018-07-31,2,"{'3117', '1016'}"
2018-07-31_1030_1035_3077_3117,196.0,1.0,combined,2018-07-31,4,"{'3117', '1030', '3077', '1035'}"
2018-07-31_1035,1309.0,1.0,combined,2018-07-31,1,{'1035'}
