group_id,total.minutes,kcal
2018-07-23_1,29.714285714285715,247.24999970000002
2018-07-23_10,35.166666666666664,0.0
2018-07-23_1101,14.0,0.0
2018-07-23_1102,35.0,6742.603384592969
2018-07-23_1119,67.0,0.0
2018-07-23_2,38.0,0.0
2018-07-23_3,19.8,0.0
2018-07-23_3040,84.0,1211.364270703125
2018-07-23_6,269.3333333333333,0.0
2018-07-23_7,179.0,0.0
2018-07-23_8,56.666666666666664,0.0
2018-07-23_9,73.5,0.0
2018-07-24_1,11.0,777.5
2018-07-24_10,56.25,3272.5
2018-07-24_1032,28.0,435.39741738281253
2018-07-24_11,375.0,7377.0
2018-07-24_1101,37.0,0.0
2018-07-24_1103,31.0,0.0
2018-07-24_1119,47.0,5269.285714
2018-07-24_12,499.0,10692.0
2018-07-24_13,118.0,2887.5
2018-07-24_16,25.0,1238.45
2018-07-24_2,6.0,921.5681807
2018-07-24_3,136.0,3577.8
2018-07-24_3040,92.0,901.3677165000001
2018-07-24_4,34.833333333333336,464.31
2018-07-24_5,483.0,1255.5000003
2018-07-24_7,90.0,465.0
2018-07-24_8,491.0,2214.0
2018-07-24_9,552.6666666666666,1328.4
2018-07-25_1,307.0,400.60787400000004
2018-07-25_10,17.0,0.0
2018-07-25_1032,23.0,248.15241738281247
2018-07-25_11,33.0,0.0
2018-07-25_1101,334.0,3408.6600000000003
2018-07-25_1119,21.0,2381.518942166667
2018-07-25_14,209.5,0.0
2018-07-25_2,179.0,197.20877171875
2018-07-25_3,25.0,300.45590550000003
2018-07-25_5,29.0,4541.25
2018-07-25_6,104.0,466.78720000000004
2018-07-25_7,97.8,5832.0
2018-07-25_8,193.0,52488.0
2018-07-25_9,26.0,2293.146
2018-07-26_1,21.0,85.0
2018-07-26_10,64.0,0.0
2018-07-26_1009,12.0,0.0
2018-07-26_1016,9.0,100.15196850000001
2018-07-26_11,417.5,0.0
2018-07-26_1101,181.0,4166.14
2018-07-26_1103,207.0,225.370096875
2018-07-26_1115,57.0,4878.41240002835
2018-07-26_1121,197.0,351.7652381666667
2018-07-26_12,17.8,0.0
2018-07-26_13,21.0,0.0
2018-07-26_14,8.2,0.0
2018-07-26_15,58.0,0.0
2018-07-26_16,9.0,0.0
2018-07-26_18,63.0,0.0
2018-07-26_19,466.0,0.0
2018-07-26_2,1.0,400.60787400000004
2018-07-26_3,28.0,4280.4
2018-07-26_3040,127.0,1195.955342625
2018-07-26_4,52.0,1017.9310360000001
2018-07-26_5,77.0,300.45590550000003
2018-07-26_6,299.75,3071.25
2018-07-26_7,84.0,890.0
2018-07-26_8,18.0,262.5
2018-07-26_9,44.333333333333336,0.0
2018-07-27_1,72.0,2503.7992125
2018-07-27_10,19.0,0.0
2018-07-27_11,227.0,0.0
2018-07-27_1101,154.5,623.1375
2018-07-27_1116,487.0,0.0
2018-07-27_1120,61.0,14754.0
2018-07-27_1124,456.0,0.0
2018-07-27_14,182.0,0.0
2018-07-27_4,97.0,997.02
2018-07-27_5,480.6666666666667,496.84765625
2018-07-27_6,295.0,313.82712
2018-07-27_8,385.8,2227.5
2018-07-27_9,247.0,872.3925
2018-07-28_1,29.0,168.6825
2018-07-28_10,186.0,23328.0
2018-07-28_11,239.0,28382.399999999998
2018-07-28_1101,117.0,0.0
2018-07-28_1102,165.0,313.4142494709167
2018-07-28_12,38.3,9652.5
2018-07-28_14,55.5,0.0
2018-07-28_2,446.0,172.0
2018-07-28_2038,255.0,751.13976375
2018-07-28_3,22.0,0.0
2018-07-28_3040,152.0,4202.34420675
2018-07-28_4,197.0,149.553
2018-07-28_5,4.5,13.1812
2018-07-28_7,122.0,398.808
2018-07-28_8,6.0,5832.0
2018-07-28_9,108.0,17496.0
2018-07-29_10,102.0,0.0
2018-07-29_11,343.6666666666667,0.0
2018-07-29_1103,85.0,0.0
2018-07-29_13,252.75,0.0
2018-07-29_14,41.0,0.0
2018-07-29_15,89.0,0.0
2018-07-29_16,85.33333333333333,0.0
2018-07-29_2,519.0,19602.0
2018-07-29_2030,88.0,0.0
2018-07-29_3,91.0,31630.5
2018-07-29_5,1.0,3110.0
2018-07-29_6,3.0,186.0
2018-07-29_7,546.3333333333334,4665.0
2018-07-29_8,10.0,449.545454
2018-07-29_9,144.5,157.5
2018-07-30_1,23.0,0.0
2018-07-30_10,401.5,12927.6
