anon_id,sex,day_in,day_out,age
P015,M,23/07/2018,02/09/2018,17
P059,M,23/07/2018,02/09/2018,13
P012,F,23/07/2018,02/09/2018,9
P005,F,23/07/2018,02/09/2018,4
P074,M,23/07/2018,02/09/2018,10
P078,M,23/07/2018,02/09/2018,5
P003,F,24/07/2018,02/09/2018,12
P043,F,06/08/2018,02/09/2018,17
P049,F,06/08/2018,02/09/2018,18
P044,M,23/07/2018,02/09/2018,10
P023,F,23/07/2018,02/09/2018,5
P068,M,23/07/2018,02/09/2018,18
P034,F,30/07/2018,02/09/2018,16
P004,M,14/08/2018,17/08/2018,8
P025,M,23/07/2018,02/09/2018,28
P051,F,23/07/2018,02/09/2018,27
P046,M,23/07/2018,02/09/2018,54
P039,F,23/07/2018,02/09/2018,45
P052,F,03/08/2018,02/09/2018,55
P050,F,26/07/2018,02/09/2018,62
P073,F,24/07/2018,02/09/2018,33
P019,M,23/07/2018,02/09/2018,27
P042,F,23/07/2018,02/09/2018,37
P020,F,26/07/2018,02/09/2018,21
P006,M,26/07/2018,02/09/2018,24
P011,M,24/07/2018,02/09/2018,30
P029,M,30/07/2018,02/09/2018,39
P009,F,30/07/2018,02/09/2018,31
P060,M,24/07/2018,02/09/2018,63
P028,F,24/07/2018,02/09/2018,59
P061,M,06/08/2018,02/09/2018,21
P027,M,23/07/2018,02/09/2018,1
P007,M,24/07/2018,02/09/2018,12
P038,F,06/08/2018,02/09/2018,17
P064,M,24/07/2018,02/09/2018,11
P056,M,,,14
P036,F,30/07/2018,02/09/2018,5
P040,M,30/07/2018,02/09/2018,8
P076,M,30/07/2018,02/09/2018,2
P066,M,30/07/2018,02/09/2018,14
P045,M,,,12
P071,F,26/07/2018,02/09/2018,1
P035,M,23/07/2018,02/09/2018,0
P048,M,23/07/2018,02/09/2018,29
P069,F,23/07/2018,02/09/2018,23
P077,M,27/08/2018,02/09/2018,7
P001,F,23/07/2018,02/09/2018,0
P032,F,26/07/2018,08/08/2018,45
P080,F,23/07/2018,02/09/2018,17
P010,F,26/07/2018,02/09/2018,19
P058,M,03/08/2018,24/08/2018,13
P047,F,03/08/2018,24/08/2018,8
P057,F,30/07/2018,02/09/2018,70
P075,F,30/07/2018,02/09/2018,0
