Category,kcal_per_g_mean,kcal_per_g_sd,n_resources
Caterpillars & Grub,0.774,0.12162236636408616,2
Corn,0.712,0.2517300141024109,2
Eggs,1.2727,,1
Fish,1.5490000000000002,1.467953677743273,2
Fish ,0.49851,,1
Fruit (cultivated),0.303601410375,0.16484634750816826,8
Fruit (wild),0.7770259740000001,1.2296051572441757,5
Game,1.4897721056551725,0.6498499873489023,29
Greens (cultivated),0.3805,0.2071822868876584,2
Greens (wild),0.8092857145000001,0.31213713596358733,2
Honey,3.11,,1
Mushroom,0.31,0.0,2
Nuts & Seeds (wild),3.312162625833333,2.417522195449585,12
Palm oil,3.7832,2.972816375089454,5
Palm wine & Mead,0.44500000000000006,0.14849242404917498,2
Plantain,0.7875000000000001,0.37123106012293744,2
Tubers (cultivated),0.9989621333333334,0.3575255373772714,6
Tubers (wild),1.19,0.0,7
