date,gift,anon_id,pooled_group,quantity,x1_unit_weight_grams,total_weight_grams,kcal
23/07/2018,0,P027,0,5.0,429,2145.0,482.13749941500004
23/07/2018,0,P067,0,10.0,9,90.0,291.6
24/07/2018,0,P009,0,1.0,131,131.0,41.628888918
25/07/2018,0,P014,0,10.0,9,90.0,291.6
26/07/2018,0,P018,0,0.5,1420,710.0,2208.1
26/07/2018,0,P071,0,1.0,963,963.0,117.9675
26/07/2018,0,P031,0,1.0,404,404.0,201.39804
26/07/2018,0,P005,0,1.0,1420,1420.0,4416.2
28/07/2018,0,P071,0,3.0,1380,4140.0,2475.1285720200003
29/07/2018,0,P043,0,1.0,1420,1420.0,4416.2
29/07/2018,0,P018,0,2.0,429,858.0,192.854999766
29/07/2018,0,P079,0,5.0,127,635.0,333.375
30/07/2018,0,P031,0,1.5,1420,2130.0,6624.3
01/08/2018,0,P069,0,1.0,1380,1380.0,825.0428573400001
02/08/2018,0,P043,0,0.5,1000,500.0,170.0
02/08/2018,0,P069,0,1.0,1380,1380.0,825.0428573400001
02/08/2018,0,P079,0,5.0,127,635.0,333.375
02/08/2018,0,P024,0,1.0,500,500.0,298.92857150000003
03/08/2018,0,P059,0,3.0,429,1287.0,289.282499649
04/08/2018,0,P027,0,0.5,1000,500.0,170.0
04/08/2018,0,P005,0,1.0,1420,1420.0,4416.2
04/08/2018,1,P053,0,6.0,127,762.0,400.05
04/08/2018,0,P014,0,1.0,250,250.0,30.625
05/08/2018,0,P059,0,0.25,1420,355.0,1104.05
05/08/2018,0,P017,0,1.0,1420,1420.0,4416.2
05/08/2018,0,P027,0,1.0,429,429.0,96.427499883
05/08/2018,0,P028,0,1.0,2512,2512.0,4146.65888
06/08/2018,0,P024,0,0.33,404,133.32,66.46135319999999
06/08/2018,0,P051,0,0.33,404,133.32,66.46135319999999
06/08/2018,0,P029,0,0.33,404,133.32,66.46135319999999
06/08/2018,0,P013,0,1.0,775,775.0,651.0
06/08/2018,0,P040,0,1.0,429,429.0,96.427499883
06/08/2018,0,P013,0,1.0,420,420.0,141.59999994
07/08/2018,0,P005,0,1.0,1420,1420.0,4416.2
07/08/2018,0,P028,0,1.0,429,429.0,96.427499883
07/08/2018,0,P028,0,1.0,1380,1380.0,825.0428573400001
07/08/2018,0,P055,0,1.0,131,131.0,41.628888918
09/08/2018,0,P074,0,3.0,963,2889.0,353.9025
09/08/2018,0,P051,0,4.0,963,3852.0,471.87
09/08/2018,0,P027,0,7.0,429,3003.0,674.992499181
10/08/2018,0,P005,0,1.0,963,963.0,117.9675
10/08/2018,0,P056,0,1.0,963,963.0,117.9675
10/08/2018,0,P016,0,1.0,963,963.0,117.9675
10/08/2018,0,P016,0,1.0,1380,1380.0,825.0428573400001
10/08/2018,0,P043,0,1.0,1000,1000.0,340.0
10/08/2018,0,P029,0,10.0,429,4290.0,964.2749988300001
11/08/2018,0,P016,0,1.0,1380,1380.0,825.0428573400001
11/08/2018,0,P005,0,4.0,1420,5680.0,17664.8
11/08/2018,0,P040,0,4.0,429,1716.0,385.709999532
11/08/2018,0,P013,0,7.0,429,3003.0,674.992499181
11/08/2018,0,P051,0,1.0,300,300.0,36.75
11/08/2018,0,P010,0,1.0,750,750.0,2332.5
11/08/2018,0,P067,0,1.0,1000,1000.0,597.8571430000001
11/08/2018,0,P055,0,1.0,2000,2000.0,1195.7142860000001
12/08/2018,0,P042,0,1.0,963,963.0,117.9675
12/08/2018,0,P040,0,1.0,429,429.0,96.427499883
12/08/2018,0,P059,0,2.5,1420,3550.0,11040.5
14/08/2018,0,P074,0,1.0,963,963.0,117.9675
14/08/2018,0,P029,0,1.0,963,963.0,117.9675
14/08/2018,1,P030,0,3.0,131,393.0,124.886666754
14/08/2018,0,P063,0,1.0,500,500.0,61.25
15/08/2018,0,P020,0,1.0,1420,1420.0,4416.2
15/08/2018,0,P010,0,2.0,1420,2840.0,8832.4
