ID,Strength_Left1,Strength_Right1,Strength_Left2,Strength_Right2,Strength_Left3,Strength_Right3,sex,day_in,day_out,BirthYear
1006,15.8,22.3,21.2,21.7,19.4,21.2,M,23/07/2018,02/09/2018,2001
1007,18.2,15.7,15.6,16.9,13.7,16.7,M,23/07/2018,02/09/2018,2005
1008,8.6,8.9,8.8,10.2,8.5,9.2,F,23/07/2018,02/09/2018,2009
1009,4.5,<5,<5,<5,<5,<5,F,23/07/2018,02/09/2018,2014
1010,7.2,17,7.7,11.5,7.6,13.8,M,23/07/2018,02/09/2018,2008
1011,<5,<5,<5,<5,<5,<5,M,23/07/2018,02/09/2018,2013
1016,15.2,13.9,14.3,17.5,15.1,16,F,24/07/2018,02/09/2018,2006
1023,15.7,18,15.8,18.7,18.3,18.2,F,06/08/2018,02/09/2018,2001
1028,11.2,15.2,20.3,20.6,23.6,23.2,F,06/08/2018,02/09/2018,2000
1030,7.7,11.4,9.1,9.8,9.9,9.1,M,23/07/2018,02/09/2018,2008
1031,5,5.8,<5,<5,5.7,5.2,F,23/07/2018,02/09/2018,2013
1032,18.8,19.6,21.5,28.1,23.5,26.5,M,23/07/2018,02/09/2018,2000
1035,18.1,18.8,16.5,18.2,13.8,19.9,F,30/07/2018,02/09/2018,2002
1036,NA,NA,NA,NA,NA,NA,M,14/08/2018,17/08/2018,2010
1101,20.6,23.6,20.5,23.4,22.6,23.3,M,23/07/2018,02/09/2018,1990
1102,24.3,28.7,25,29,29.9,29.4,F,23/07/2018,02/09/2018,1991
1103,25,30,28.7,30.1,27.7,28.7,M,23/07/2018,02/09/2018,1964
1104,23.9,22.2,24.8,24.1,24.7,24.5,F,23/07/2018,02/09/2018,1973
1106,16.5,16.3,16.4,16.1,15.8,16.3,F,03/08/2018,02/09/2018,1963
1115,Refused,Refused,Refused,Refused,Refused,Refused,F,26/07/2018,02/09/2018,1956
1116,21.3,21.2,21.2,21.2,21,20.7,F,24/07/2018,02/09/2018,1985
1119,34.2,34.9,36.1,35.7,36.8,35.2,M,23/07/2018,02/09/2018,1991
1120,21.7,22.1,19.2,21.8,20.2,21.7,F,23/07/2018,02/09/2018,1981
1121,17.4,20.7,19.1,20.3,20.2,20,F,26/07/2018,02/09/2018,1997
1122,17.6,26.1,26.4,26.1,26,25.7,M,26/07/2018,02/09/2018,1994
1124,12.7,21.1,19.1,25.8,21.7,25.6,M,24/07/2018,02/09/2018,1988
2030,18.4,17.5,18.5,18.1,18.6,18,M,30/07/2018,02/09/2018,1979
2031,18.8,19.6,18.5,19.1,19,19,F,30/07/2018,02/09/2018,1987
2038,31.7,31.9,30.1,30.4,29.2,30.2,M,24/07/2018,02/09/2018,1955
2039,12.5,17.6,17.2,18.9,19.2,18.1,F,24/07/2018,02/09/2018,1959
2055,17.2,25.8,24.5,24.4,30.7,35,M,06/08/2018,02/09/2018,1997
2500,Too young,Too young,Too young,Too young,Too young,Too young,M,23/07/2018,02/09/2018,2017
2513,14.5,15.7,13.2,14.7,13.7,14.7,M,24/07/2018,02/09/2018,2006
2522,26.1,29.9,27.8,29.6,22.3,25.3,F,06/08/2018,02/09/2018,2001
2523,16.6,19,16.1,19.6,13.2,18.9,M,24/07/2018,02/09/2018,2007
2524,NA,NA,NA,NA,NA,NA,M,NA,NA,2004
2538,Too young,Too young,Too young,Too young,Too young,Too young,F,30/07/2018,02/09/2018,2013
2539,9.1,8.5,8.8,13.6,11.2,12.3,M,30/07/2018,02/09/2018,2010
2542,Too young,Too young,Too young,Too young,Too young,Too young,M,30/07/2018,02/09/2018,2016
2544,20.3,20.5,20.6,19.6,19.5,21,M,30/07/2018,02/09/2018,2004
2547,NA,NA,NA,NA,NA,NA,M,NA,NA,2006
2901,Too young,Too young,Too young,Too young,Too young,Too young,F,26/07/2018,02/09/2018,2017
3039,Too young,Too young,Too young,Too young,Too young,Too young,M,23/07/2018,02/09/2018,2018
3040,25.2,25.7,25.2,25,25.1,25.2,M,23/07/2018,02/09/2018,1989
3041,20.4,21.5,19.5,21.6,18.5,21.4,F,23/07/2018,02/09/2018,1995
3061,6.4,8.5,9.1,9,7.4,7.4,M,27/08/2018,02/09/2018,2011
3062,Too young,Too young,Too young,Too young,Too young,Too young,F,23/07/2018,02/09/2018,2018
3076,14.7,18,16.9,19.2,15.1,21.8,F,26/07/2018,08/08/2018,1973
3077,14.1,18.6,16.7,19.1,21.6,19.9,F,23/07/2018,02/09/2018,2001
3117,18.7,21.1,18.9,17.6,13.6,21.8,F,26/07/2018,02/09/2018,1999
3118,12.3,15.5,13.6,13.8,14.9,15.1,M,03/08/2018,24/08/2018,2005
3119,7.7,9.4,7.4,8.5,8.9,11.3,F,03/08/2018,24/08/2018,2010
3142,Refused,Refused,Refused,Refused,Refused,Refused,F,30/07/2018,02/09/2018,1948
3143,Too young,Too young,Too young,Too young,Too young,Too young,F,30/07/2018,02/09/2018,2018
