"Date","pooled_group","index","net_food_weight_gram","gift","ID","article","state"
"01.08.18",1,55,1100,0,1030,"ediki","with inedible"
"01.08.18",1,55,1100,0,2523,"ediki","with inedible"
"01.08.18",1,55,1100,0,1010,"ediki","with inedible"
"01.08.18",10,14,100,0,2513,"ekule","ready-to-eat"
"01.08.18",10,14,100,0,2039,"ekule","ready-to-eat"
"01.08.18",11,14,1600,0,2039,"ekule","ready-to-eat"
"01.08.18",11,14,1600,0,2513,"ekule","ready-to-eat"
"01.08.18",2,24,1200,0,3117,"cassava leaves","with stem"
"01.08.18",2,24,1200,0,1035,"cassava leaves","with stem"
"01.08.18",3,36,1000,0,1035,"pusa","without skin"
"01.08.18",3,36,1000,0,3117,"pusa","without skin"
"01.08.18",4,42,250,0,1035,"corn","without husk"
"01.08.18",4,42,250,0,3117,"corn","without husk"
"01.08.18",5,36,600,0,1035,"pusa","without skin"
"01.08.18",5,36,600,0,3117,"pusa","without skin"
"01.08.18",6,35,5100,0,3117,"mela","ready-to-eat"
"01.08.18",6,35,5100,0,1035,"mela","ready-to-eat"
"01.08.18",7,45,900,0,1035,"orange","with peel"
"01.08.18",7,45,900,0,3117,"orange","with peel"
"01.08.18",8,2,1000,0,3040,"maondo","with peel"
"01.08.18",8,2,1000,0,3041,"maondo","with peel"
"01.08.18",9,20,500,0,3041,"cassava","with water"
"01.08.18",9,20,500,0,3040,"cassava","with water"
"01.09.18",1,75,350,0,1030,"caterpillars","with guts"
"01.09.18",1,75,350,0,1031,"caterpillars","with guts"
"01.09.18",2,2,70.88,0,3077,"maondo","with peel"
"01.09.18",2,2,70.88,0,2523,"maondo","with peel"
"01.09.18",2,2,70.88,0,1035,"maondo","with peel"
"01.09.18",3,75,1800,0,3041,"caterpillars","with guts"
"01.09.18",3,75,1800,0,3077,"caterpillars","with guts"
"01.09.18",3,75,1800,0,3117,"caterpillars","with guts"
"01.09.18",4,75,2350,0,1106,"caterpillars","with guts"
"01.09.18",4,75,2350,0,1023,"caterpillars","with guts"
"01.09.18",5,75,400,0,3040,"caterpillars","with guts"
"01.09.18",5,75,400,0,1122,"caterpillars","with guts"
"01.09.18",6,35,2600,0,1120,"mela","ready-to-eat"
"01.09.18",6,35,2600,0,1115,"mela","ready-to-eat"
"01.09.18",7,75,1600,0,2513,"caterpillars","with guts"
"01.09.18",7,75,1600,0,2038,"caterpillars","with guts"
"01.09.18",8,34,2700,0,3117,"cacao","with husk"
"01.09.18",8,34,2700,0,1023,"cacao","with husk"
"02.08.18",1,2,4000,0,2513,"maondo","with peel"
"02.08.18",1,2,4000,0,3077,"maondo","with peel"
"02.08.18",1,2,4000,0,3117,"maondo","with peel"
"02.08.18",1,2,4000,0,1035,"maondo","with peel"
"02.08.18",1,2,4000,0,1007,"maondo","with peel"
"02.08.18",1,2,4000,0,1010,"maondo","with peel"
"02.08.18",1,2,4000,0,2523,"maondo","with peel"
"02.08.18",1,2,4000,0,2544,"maondo","with peel"
"02.08.18",1,2,4000,0,1016,"maondo","with peel"
"02.08.18",1,2,4000,0,1008,"maondo","with peel"
"02.08.18",1,2,4000,0,3118,"maondo","with peel"
"02.08.18",1,2,4000,0,3119,"maondo","with peel"
"02.08.18",1,2,4000,0,1011,"maondo","with peel"
"02.08.18",2,36,250,0,1030,"pusa","without skin"
"02.08.18",2,36,250,0,1120,"pusa","without skin"
"02.08.18",3,2,2500,0,1104,"maondo","with peel"
"02.08.18",3,2,2500,0,1009,"maondo","with peel"
"02.08.18",3,2,2500,0,1121,"maondo","with peel"
"02.08.18",4,5,1350,0,1116,"palm nut","without thorns"
"02.08.18",4,5,1350,0,2039,"palm nut","without thorns"
"02.08.18",5,36,1500,0,1120,"pusa","without skin"
"02.08.18",5,36,1500,0,1030,"pusa","without skin"
"02.08.18",6,36,1500,0,1030,"pusa","without skin"
"02.08.18",6,36,1500,0,1120,"pusa","without skin"
"02.09.18",1,75,400,0,1008,"caterpillars","with guts"
"02.09.18",1,75,400,0,1007,"caterpillars","with guts"
"02.09.18",2,75,750,0,1031,"caterpillars","with guts"
"02.09.18",2,75,750,0,1009,"caterpillars","with guts"
"02.09.18",3,75,250,0,1120,"caterpillars","with guts"
"02.09.18",3,75,250,0,1030,"caterpillars","with guts"
"02.09.18",4,35,6600,0,3041,"mela","ready-to-eat"
"02.09.18",4,35,6600,0,3077,"mela","ready-to-eat"
"02.09.18",5,35,13500,0,1121,"mela","ready-to-eat"
"02.09.18",5,35,13500,0,1104,"mela","ready-to-eat"
"02.09.18",6,35,2700,0,1023,"mela","ready-to-eat"
"02.09.18",6,35,2700,0,1106,"mela","ready-to-eat"
"02.09.18",6,35,2700,0,1028,"mela","ready-to-eat"
"02.09.18",7,35,7700,0,2031,"mela","ready-to-eat"
"02.09.18",7,35,7700,0,3142,"mela","ready-to-eat"
"03.08.18",1,47,500,0,1006,"matokodi","ready-to-eat"
"03.08.18",1,47,500,0,2544,"matokodi","ready-to-eat"
"03.08.18",2,53,700,0,1101,"mushooms","ready-to-eat"
"03.08.18",2,53,700,0,1010,"mushooms","ready-to-eat"
"03.08.18",3,2,1000,0,1009,"maondo","with peel"
"03.08.18",3,2,1000,0,2523,"maondo","with peel"
"03.08.18",3,2,1000,0,1031,"maondo","with peel"
"03.08.18",3,2,1000,0,3119,"maondo","with peel"
"03.08.18",3,2,1000,0,1008,"maondo","with peel"
"03.08.18",3,2,1000,0,1011,"maondo","with peel"
"03.08.18",4,2,3750,0,2544,"maondo","with peel"
"03.08.18",4,2,3750,0,1007,"maondo","with peel"
"03.08.18",4,2,3750,0,1010,"maondo","with peel"
"03.08.18",4,2,3750,0,2539,"maondo","with peel"
"03.08.18",4,2,3750,0,3118,"maondo","with peel"
"03.08.18",5,2,3000,0,1122,"maondo","with peel"
"03.08.18",5,2,3000,0,1121,"maondo","with peel"
"03.08.18",6,26,200,0,1030,"kaso","with husk"
"03.08.18",6,26,200,0,1032,"kaso","with husk"
"03.08.18",6,26,200,0,1006,"kaso","with husk"
"03.08.18",7,47,1250,0,2030,"matokodi","ready-to-eat"
"03.08.18",7,47,1250,0,2031,"matokodi","ready-to-eat"
"04.08.18",1,2,1250,0,3118,"maondo","with peel"
"04.08.18",1,2,1250,0,1016,"maondo","with peel"
"04.08.18",1,2,1250,0,1007,"maondo","with peel"
"04.08.18",1,2,1250,0,1010,"maondo","with peel"
"04.08.18",1,2,1250,0,3119,"maondo","with peel"
"04.08.18",1,2,1250,0,2513,"maondo","with peel"
"04.08.18",1,2,1250,0,2539,"maondo","with peel"
"04.08.18",1,2,1250,0,2544,"maondo","with peel"
"04.08.18",2,2,2500,0,3118,"maondo","with peel"
"04.08.18",2,2,2500,0,2544,"maondo","with peel"
"04.08.18",2,2,2500,0,2539,"maondo","with peel"
"04.08.18",2,2,2500,0,2513,"maondo","with peel"
"04.08.18",2,2,2500,0,1016,"maondo","with peel"
"04.08.18",2,2,2500,0,3119,"maondo","with peel"
"04.08.18",2,2,2500,0,1007,"maondo","with peel"
"04.08.18",2,2,2500,0,1010,"maondo","with peel"
"04.08.18",3,2,2700,0,1007,"maondo","with peel"
